Date,T1,T2,T3,T4,T5,Close
1990-06-11,-0.7754111719208815,-0.7651223619466804,-0.7617742554802132,-0.7580028368201882,-0.7552780802902962,-0.755736752690953
1990-06-18,-0.7651223619466804,-0.7617742554802132,-0.7580028368201882,-0.7552780802902962,-0.755736752690953,-0.7614428798251132
1990-06-25,-0.7617742554802132,-0.7580028368201882,-0.7552780802902962,-0.755736752690953,-0.7614428798251132,-0.7645121458013134
1990-07-02,-0.7580028368201882,-0.7552780802902962,-0.755736752690953,-0.7614428798251132,-0.7645121458013134,-0.7610589690051802
1990-07-09,-0.7552780802902962,-0.755736752690953,-0.7614428798251132,-0.7645121458013134,-0.7610589690051802,-0.7574744542969648
1990-07-16,-0.755736752690953,-0.7614428798251132,-0.7645121458013134,-0.7610589690051802,-0.7574744542969648,-0.7539121660046404
1990-07-23,-0.7614428798251132,-0.7645121458013134,-0.7610589690051802,-0.7574744542969648,-0.7539121660046404,-0.7640312469847659
1990-07-30,-0.7645121458013134,-0.7610589690051802,-0.7574744542969648,-0.7539121660046404,-0.7640312469847659,-0.7668560223861668
1990-08-06,-0.7610589690051802,-0.7574744542969648,-0.7539121660046404,-0.7640312469847659,-0.7668560223861668,-0.7831196970684812
1990-08-13,-0.7574744542969648,-0.7539121660046404,-0.7640312469847659,-0.7668560223861668,-0.7831196970684812,-0.7840410830363203
1990-08-20,-0.7539121660046404,-0.7640312469847659,-0.7668560223861668,-0.7831196970684812,-0.7840410830363203,-0.8028365485469289
1990-08-27,-0.7640312469847659,-0.7668560223861668,-0.7831196970684812,-0.7840410830363203,-0.8028365485469289,-0.7982397216240483
1990-09-03,-0.7668560223861668,-0.7831196970684812,-0.7840410830363203,-0.8028365485469289,-0.7982397216240483,-0.7970405054575738
1990-09-10,-0.7831196970684812,-0.7840410830363203,-0.8028365485469289,-0.7982397216240483,-0.7970405054575738,-0.7997652619874659
1990-09-17,-0.7840410830363203,-0.8028365485469289,-0.7982397216240483,-0.7970405054575738,-0.7997652619874659,-0.8048005554783749
1990-09-24,-0.8028365485469289,-0.7982397216240483,-0.7970405054575738,-0.7997652619874659,-0.8048005554783749,-0.8150732007864736
1990-10-01,-0.7982397216240483,-0.7970405054575738,-0.7997652619874659,-0.8048005554783749,-0.8150732007864736,-0.8068272004909681
1990-10-08,-0.7970405054575738,-0.7997652619874659,-0.8048005554783749,-0.8150732007864736,-0.8068272004909681,-0.81718875146263
1990-10-15,-0.7997652619874659,-0.8048005554783749,-0.8150732007864736,-0.8068272004909681,-0.81718875146263,-0.8162451390789004
1990-10-22,-0.8048005554783749,-0.8150732007864736,-0.8068272004909681,-0.81718875146263,-0.8162451390789004,-0.8090781302457323
